comment_text,toxic
This is a safe comment number 161,0
wala kang silbi!,1
This is a toxic comment number 666,1
This is a safe comment number 1875,0
This is a toxic comment number 1172,1
This is a toxic comment number 348,1
This is a safe comment number 1359,0
This is a toxic comment number 1746,1
This is a safe comment number 1865,0
This is a toxic comment number 1588,1
This is a safe comment number 1963,0
This is a safe comment number 1129,0
SALAMAT PO,0
This is a toxic comment number 242,1
This is a safe comment number 1271,0
This is a toxic comment number 1446,1
WALANG KWENTA,1
"Hey, Best wishes",0
This is a safe comment number 97,0
This is a safe comment number 911,0
This is a safe comment number 835,0
This is a safe comment number 1315,0
Love wins!,0
Have a nice day 😂,0
This is a safe comment number 645,0
This is a safe comment number 1729,0
This is a toxic comment number 1870,1
This is a toxic comment number 1900,1
BOBO KA,1
This is a safe comment number 135,0
SWERTE MO,0
This is a toxic comment number 1720,1
You are amazing 😊,0
This is a toxic comment number 1224,1
This is a safe comment number 1117,0
This is a toxic comment number 552,1
This is a toxic comment number 510,1
This is a safe comment number 1413,0
PANALO KA,0
This is a toxic comment number 366,1
This is a toxic comment number 848,1
ulol,1
retard 😡,1
This is a toxic comment number 42,1
This is a toxic comment number 1762,1
swerte mo,0
This is a toxic comment number 738,1
mabuhay ka,0
This is a safe comment number 349,0
ingat ka palagi 😂,0
This is a toxic comment number 264,1
This is a toxic comment number 436,1
salot ka,1
PANGIT KA,1
This is a toxic comment number 1814,1
This is a safe comment number 143,0
This is a safe comment number 705,0
hudas,1
This is a safe comment number 1249,0
This is a toxic comment number 782,1
This is a safe comment number 1441,0
This is a toxic comment number 1020,1
This is a toxic comment number 898,1
gago 😂,1
This is a toxic comment number 456,1
This is a safe comment number 1651,0
This is a safe comment number 1169,0
This is a safe comment number 185,0
This is a safe comment number 763,0
This is a safe comment number 1791,0
BUTI PA IKAW,0
This is a toxic comment number 1296,1
This is a safe comment number 773,0
mabuhay ka,0
This is a toxic comment number 1122,1
leche ka,1
This is a toxic comment number 370,1
This is a safe comment number 1527,0
This is a safe comment number 1029,0
"Hey, bakla",1
freak,1
This is a toxic comment number 98,1
This is a safe comment number 737,0
This is a safe comment number 745,0
This is a toxic comment number 1874,1
sobrang bait mo,0
This is a toxic comment number 62,1
This is a toxic comment number 614,1
This is a safe comment number 125,0
This is a safe comment number 1619,0
This is a toxic comment number 644,1
This is a toxic comment number 86,1
This is a toxic comment number 1206,1
This is a safe comment number 833,0
This is a safe comment number 1377,0
This is a safe comment number 167,0
This is a toxic comment number 1276,1
This is a safe comment number 727,0
This is a toxic comment number 500,1
This is a toxic comment number 734,1
This is a safe comment number 1207,0
This is a safe comment number 21,0
Well done!!!,0
This is a toxic comment number 1462,1
This is a toxic comment number 252,1
This is a toxic comment number 1176,1
This is a toxic comment number 1092,1
This is a safe comment number 625,0
This is a safe comment number 581,0
This is a safe comment number 1107,0
This is a safe comment number 1005,0
Retard,1
This is a safe comment number 91,0
This is a toxic comment number 1704,1
This is a safe comment number 1297,0
This is a toxic comment number 1250,1
malakas ka!!!,0
idol kita,0
dumbass,1
This is a toxic comment number 1710,1
Great work 😂,0
This is a safe comment number 1977,0
This is a toxic comment number 468,1
This is a safe comment number 1849,0
This is a safe comment number 1341,0
This is a safe comment number 917,0
This is a safe comment number 377,0
This is a toxic comment number 1496,1
This is a toxic comment number 34,1
wala kang silbi,1
This is a toxic comment number 388,1
This is a toxic comment number 2,1
This is a safe comment number 1415,0
This is a safe comment number 1749,0
This is a toxic comment number 1392,1
This is a safe comment number 553,0
salamat po,0
This is a safe comment number 583,0
This is a safe comment number 1889,0
idol kita!,0
This is a toxic comment number 1244,1
This is a safe comment number 1137,0
This is a safe comment number 1433,0
This is a safe comment number 1833,0
This is a toxic comment number 1252,1
Worthless 😂,1
This is a toxic comment number 1974,1
This is a safe comment number 1539,0
This is a safe comment number 1941,0
This is a safe comment number 1805,0
This is a toxic comment number 672,1
This is a safe comment number 1173,0
INGAT KA PALAGI,0
sira ulo,1
This is a safe comment number 871,0
This is a toxic comment number 1860,1
This is a safe comment number 399,0
This is a toxic comment number 448,1
This is a safe comment number 1655,0
This is a safe comment number 1469,0
unggoy,1
This is a safe comment number 701,0
This is a toxic comment number 1116,1
This is a safe comment number 501,0
This is a safe comment number 447,0
KEEP IT UP,0
This is a toxic comment number 1996,1
This is a safe comment number 1395,0
This is a toxic comment number 802,1
This is a toxic comment number 188,1
This is a safe comment number 343,0
This is a safe comment number 1591,0
This is a safe comment number 1217,0
This is a safe comment number 1841,0
This is a toxic comment number 1598,1
This is a toxic comment number 742,1
This is a safe comment number 1497,0
This is a toxic comment number 948,1
This is a toxic comment number 1532,1
This is a toxic comment number 54,1
This is a toxic comment number 1738,1
This is a toxic comment number 840,1
This is a toxic comment number 1186,1
This is a toxic comment number 1030,1
This is a toxic comment number 96,1
This is a safe comment number 557,0
This is a toxic comment number 1148,1
This is a safe comment number 1219,0
I appreciate your effort,0
This is a toxic comment number 1146,1
This is a safe comment number 1319,0
This is a toxic comment number 404,1
This is a safe comment number 1179,0
This is a toxic comment number 104,1
sobrang bait mo 😊,0
"Hoy, wala kang silbi",1
This is a safe comment number 441,0
This is a toxic comment number 1004,1
This is a safe comment number 1277,0
This is a safe comment number 1205,0
tanga,1
This is a safe comment number 419,0
That was helpful 😊,0
This is a safe comment number 1755,0
This is a toxic comment number 1716,1
great work,0
ingat ka palagi!!!,0
This is a safe comment number 1827,0
This is a safe comment number 529,0
This is a safe comment number 1829,0
tarantado!!!,1
"Hoy, swerte mo",0
This is a toxic comment number 320,1
AYOS YAN,0
This is a safe comment number 387,0
This is a toxic comment number 1778,1
This is a toxic comment number 1920,1
This is a toxic comment number 1294,1
This is a toxic comment number 1066,1
"Hoy, leche ka",1
This is a toxic comment number 1374,1
ingat ka palagi 😊,0
kill yourself,1
This is a toxic comment number 332,1
This is a safe comment number 1515,0
This is a safe comment number 1167,0
This is a safe comment number 365,0
This is a safe comment number 89,0
This is a toxic comment number 1342,1
"Hey, Well done",0
panalo ka 😊,0
This is a safe comment number 309,0
This is a safe comment number 1165,0
This is a safe comment number 1451,0
This is a safe comment number 5,0
You suck 😂,1
This is a safe comment number 227,0
This is a safe comment number 549,0
This is a toxic comment number 1884,1
This is a safe comment number 509,0
This is a safe comment number 815,0
This is a safe comment number 813,0
This is a toxic comment number 122,1
This is a toxic comment number 1196,1
This is a toxic comment number 1212,1
Keep it up!,0
This is a safe comment number 1845,0
This is a safe comment number 1183,0
This is a toxic comment number 1164,1
This is a toxic comment number 1356,1
This is a toxic comment number 780,1
This is a safe comment number 1921,0
This is a safe comment number 1491,0
This is a toxic comment number 998,1
leche ka,1
This is a toxic comment number 1434,1
This is a safe comment number 1831,0
Lazy fool!,1
This is a safe comment number 579,0
tarantado 😂,1
This is a toxic comment number 446,1
panalo ka,0
This is a toxic comment number 1736,1
"Hey, freak",1
This is a safe comment number 967,0
ingat ka palagi,0
This is a safe comment number 1555,0
This is a safe comment number 1997,0
This is a toxic comment number 822,1
This is a toxic comment number 1426,1
This is a safe comment number 1333,0
Have a nice day!!!,0
This is a toxic comment number 116,1
This is a toxic comment number 610,1
This is a toxic comment number 874,1
This is a toxic comment number 656,1
This is a safe comment number 1225,0
"Keep going, you’re doing well",0
This is a toxic comment number 290,1
salot ka,1
This is a toxic comment number 976,1
This is a safe comment number 657,0
This is a toxic comment number 664,1
This is a toxic comment number 640,1
This is a safe comment number 211,0
This is a toxic comment number 938,1
This is a toxic comment number 730,1
This is a safe comment number 739,0
This is a toxic comment number 1328,1
This is a toxic comment number 578,1
This is a toxic comment number 1438,1
You suck 😡,1
This is a safe comment number 63,0
This is a toxic comment number 942,1
This is a toxic comment number 1152,1
This is a safe comment number 1251,0
This is a toxic comment number 124,1
bakla,1
This is a safe comment number 1009,0
"Hoy, walang kwenta",1
This is a safe comment number 1007,0
This is a toxic comment number 914,1
This is a toxic comment number 1954,1
This is a safe comment number 251,0
This is a safe comment number 805,0
This is a toxic comment number 1088,1
This is a safe comment number 283,0
This is a toxic comment number 1238,1
This is a safe comment number 903,0
This is a toxic comment number 1576,1
This is a toxic comment number 1834,1
Worthless!!!,1
This is a toxic comment number 1540,1
pagpalain ka!,0
This is a toxic comment number 68,1
This is a safe comment number 1013,0
Go die!,1
have a nice day,0
This is a toxic comment number 1642,1
This is a toxic comment number 192,1
This is a safe comment number 1673,0
This is a toxic comment number 1690,1
This is a toxic comment number 872,1
This is a toxic comment number 1522,1
This is a toxic comment number 422,1
This is a toxic comment number 1542,1
This is a safe comment number 1579,0
"Hey, Ugly pig",1
This is a toxic comment number 636,1
buti pa ikaw 😊,0
putangina mo 😡,1
This is a toxic comment number 988,1
This is a toxic comment number 1442,1
Have a nice day!,0
This is a toxic comment number 288,1
This is a safe comment number 1199,0
This is a safe comment number 405,0
This is a safe comment number 287,0
This is a toxic comment number 1700,1
pangit ka,1
This is a safe comment number 1609,0
mahal kita 😂,0
This is a toxic comment number 1770,1
This is a safe comment number 41,0
"Hoy, pangit ka",1
This is a safe comment number 1835,0
This is a safe comment number 545,0
This is a toxic comment number 482,1
This is a safe comment number 1707,0
astig ka pre,0
putangina mo!!!,1
"Hoy, panalo ka",0
This is a safe comment number 1351,0
This is a safe comment number 481,0
bobo ka,1
love wins,0
This is a safe comment number 25,0
This is a safe comment number 571,0
"Hoy, idol kita",0
This is a safe comment number 1247,0
that was helpful,0
This is a safe comment number 1343,0
This is a toxic comment number 268,1
This is a toxic comment number 1852,1
This is a safe comment number 145,0
This is a toxic comment number 502,1
This is a safe comment number 1989,0
pagpalain ka 😂,0
This is a safe comment number 1901,0
This is a safe comment number 1519,0
This is a safe comment number 1369,0
This is a toxic comment number 1844,1
ugok,1
This is a toxic comment number 202,1
This is a toxic comment number 8,1
This is a toxic comment number 1108,1
This is a safe comment number 941,0
This is a safe comment number 113,0
This is a safe comment number 503,0
This is a toxic comment number 184,1
This is a toxic comment number 866,1
This is a safe comment number 1773,0
This is a toxic comment number 402,1
This is a toxic comment number 182,1
This is a toxic comment number 1424,1
This is a safe comment number 1639,0
This is a safe comment number 129,0
This is a toxic comment number 1150,1
This is a safe comment number 1885,0
This is a toxic comment number 1784,1
This is a toxic comment number 102,1
This is a toxic comment number 1188,1
idol kita 😊,0
This is a toxic comment number 686,1
Dumb idiot!,1
retard,1
This is a toxic comment number 1524,1
retard,1
This is a toxic comment number 616,1
This is a safe comment number 1583,0
This is a safe comment number 1785,0
dumbass,1
This is a safe comment number 1949,0
This is a toxic comment number 1076,1
This is a toxic comment number 632,1
This is a safe comment number 1063,0
This is a safe comment number 1697,0
You are kind 😊,0
This is a safe comment number 1575,0
"Hey, Moron",1
This is a safe comment number 1201,0
This is a safe comment number 857,0
This is a safe comment number 359,0
unggoy!,1
This is a safe comment number 1147,0
This is a toxic comment number 1724,1
This is a toxic comment number 1022,1
This is a safe comment number 1511,0
best wishes,0
This is a safe comment number 1459,0
This is a safe comment number 1893,0
This is a safe comment number 883,0
"Hoy, bwisit ka",1
This is a safe comment number 1127,0
This is a safe comment number 183,0
This is a toxic comment number 1592,1
gago!!!,1
This is a safe comment number 933,0
This is a safe comment number 599,0
This is a toxic comment number 144,1
malakas ka!,0
This is a safe comment number 1485,0
This is a safe comment number 1151,0
This is a toxic comment number 32,1
This is a toxic comment number 1854,1
This is a toxic comment number 1820,1
This is a toxic comment number 1616,1
This is a toxic comment number 1786,1
"Hey, I hate you",1
This is a toxic comment number 906,1
This is a safe comment number 1209,0
This is a safe comment number 1565,0
This is a safe comment number 863,0
This is a toxic comment number 296,1
This is a safe comment number 123,0
This is a toxic comment number 862,1
This is a safe comment number 395,0
This is a toxic comment number 1502,1
This is a safe comment number 181,0
Shut up loser!!!,1
This is a toxic comment number 1112,1
Well done,0
This is a toxic comment number 1346,1
This is a toxic comment number 774,1
This is a safe comment number 1493,0
This is a safe comment number 83,0
This is a safe comment number 1677,0
ugok,1
This is a safe comment number 551,0
This is a toxic comment number 834,1
This is a safe comment number 191,0
This is a toxic comment number 876,1
This is a safe comment number 423,0
This is a safe comment number 1455,0
This is a safe comment number 1421,0
This is a toxic comment number 334,1
This is a toxic comment number 1106,1
This is a safe comment number 1783,0
This is a safe comment number 1541,0
This is a safe comment number 1577,0
This is a toxic comment number 1194,1
This is a safe comment number 1705,0
"Hey, Retard",1
This is a toxic comment number 1008,1
This is a toxic comment number 1534,1
This is a toxic comment number 292,1
This is a safe comment number 1123,0
This is a toxic comment number 752,1
Nobody likes you 😡,1
This is a safe comment number 1305,0
unggoy 😂,1
This is a safe comment number 621,0
This is a safe comment number 1947,0
This is a safe comment number 1399,0
This is a toxic comment number 740,1
ayos yan 😂,0
This is a toxic comment number 1866,1
This is a safe comment number 393,0
HUDAS,1
This is a toxic comment number 1038,1
This is a safe comment number 1139,0
This is a toxic comment number 1204,1
This is a safe comment number 1357,0
This is a safe comment number 1149,0
This is a safe comment number 269,0
This is a toxic comment number 986,1
ampalaya!,1
You're trash,1
This is a safe comment number 633,0
This is a safe comment number 797,0
"Hoy, maraming salamat",0
buti pa ikaw,0
This is a toxic comment number 1992,1
This is a toxic comment number 844,1
This is a toxic comment number 128,1
This is a toxic comment number 930,1
This is a toxic comment number 1350,1
This is a safe comment number 1313,0
This is a toxic comment number 654,1
This is a toxic comment number 1270,1
This is a safe comment number 243,0
pagpalain ka,0
This is a toxic comment number 118,1
"Hoy, bobo ka",1
This is a safe comment number 101,0
Retard 😡,1
This is a toxic comment number 724,1
This is a safe comment number 261,0
ampalaya 😂,1
This is a toxic comment number 1530,1
swerte mo,0
ang galing mo,0
This is a safe comment number 1501,0
This is a toxic comment number 160,1
This is a toxic comment number 1618,1
This is a toxic comment number 316,1
pangit ka,1
This is a safe comment number 823,0
This is a toxic comment number 1842,1
This is a toxic comment number 1706,1
This is a toxic comment number 1034,1
This is a toxic comment number 1064,1
This is a toxic comment number 1474,1
This is a safe comment number 1463,0
This is a safe comment number 95,0
"Hoy, mabuhay ka",0
This is a safe comment number 1537,0
This is a safe comment number 1601,0
This is a safe comment number 867,0
This is a safe comment number 1703,0
This is a safe comment number 1043,0
This is a safe comment number 703,0
This is a toxic comment number 1666,1
wala kang silbi 😂,1
This is a toxic comment number 274,1
leche ka!!!,1
This is a toxic comment number 670,1
This is a safe comment number 713,0
This is a toxic comment number 1048,1
ang galing mo,0
This is a safe comment number 1019,0
tarantado 😡,1
This is a toxic comment number 1302,1
This is a safe comment number 1345,0
This is a safe comment number 353,0
This is a toxic comment number 1942,1
This is a safe comment number 1353,0
This is a safe comment number 1257,0
This is a safe comment number 1237,0
This is a toxic comment number 926,1
This is a toxic comment number 312,1
This is a toxic comment number 1548,1
Best wishes!!!,0
This is a safe comment number 1363,0
This is a toxic comment number 1752,1
This is a toxic comment number 1596,1
"Hey, Disgusting animal",1
This is a safe comment number 825,0
tarantado!,1
This is a toxic comment number 1228,1
This is a toxic comment number 1352,1
This is a toxic comment number 336,1
This is a safe comment number 65,0
This is a toxic comment number 260,1
This is a toxic comment number 1120,1
This is a safe comment number 849,0
This is a toxic comment number 1580,1
lazy fool,1
This is a toxic comment number 1660,1
This is a safe comment number 859,0
This is a toxic comment number 1242,1
"Hoy, putangina mo",1
This is a toxic comment number 1904,1
This is a safe comment number 1189,0
This is a toxic comment number 246,1
This is a toxic comment number 1652,1
This is a safe comment number 363,0
This is a safe comment number 285,0
This is a toxic comment number 1178,1
"Hoy, sobrang bait mo",0
salot ka 😂,1
buti pa ikaw!,0
This is a safe comment number 413,0
This is a safe comment number 1863,0
This is a toxic comment number 272,1
This is a toxic comment number 228,1
Congrats on your success,0
I hate you,1
wala kang silbi,1
This is a toxic comment number 832,1
This is a toxic comment number 322,1
ingat ka palagi!,0
This is a toxic comment number 384,1
This is a toxic comment number 1550,1
This is a safe comment number 275,0
This is a toxic comment number 112,1
This is a safe comment number 1269,0
"Hey, Good job",0
maraming salamat,0
This is a toxic comment number 1266,1
This is a toxic comment number 1130,1
This is a toxic comment number 764,1
This is a toxic comment number 890,1
This is a toxic comment number 1478,1
This is a safe comment number 1047,0
This is a toxic comment number 1574,1
This is a toxic comment number 808,1
This is a safe comment number 1437,0
This is a toxic comment number 718,1
This is a toxic comment number 486,1
This is a safe comment number 253,0
This is a safe comment number 921,0
This is a toxic comment number 1708,1
This is a safe comment number 239,0
This is a toxic comment number 1436,1
salot ka!!!,1
This is a toxic comment number 132,1
This is a toxic comment number 176,1
This is a toxic comment number 1062,1
This is a safe comment number 1291,0
This is a safe comment number 433,0
bakla!!!,1
This is a safe comment number 99,0
That was helpful,0
This is a toxic comment number 1578,1
This is a safe comment number 1793,0
This is a toxic comment number 772,1
This is a safe comment number 465,0
This is a safe comment number 1349,0
This is a toxic comment number 150,1
This is a toxic comment number 1902,1
This is a toxic comment number 916,1
This is a safe comment number 303,0
This is a toxic comment number 606,1
This is a toxic comment number 168,1
Good job!!!,0
This is a safe comment number 1375,0
This is a toxic comment number 620,1
This is a safe comment number 1197,0
Dumb idiot!!!,1
This is a safe comment number 1229,0
go die,1
This is a toxic comment number 1472,1
This is a toxic comment number 232,1
This is a toxic comment number 708,1
This is a safe comment number 1095,0
This is a toxic comment number 838,1
This is a toxic comment number 800,1
This is a safe comment number 1507,0
Love wins 😂,0
hudas!,1
This is a toxic comment number 258,1
Kill yourself,1
This is a toxic comment number 1490,1
WALA KANG SILBI,1
This is a toxic comment number 820,1
This is a safe comment number 635,0
This is a safe comment number 449,0
This is a safe comment number 1133,0
pangit ka 😡,1
This is a safe comment number 985,0
This is a safe comment number 77,0
bakla!,1
This is a toxic comment number 824,1
This is a safe comment number 1339,0
This is a safe comment number 927,0
This is a safe comment number 573,0
This is a toxic comment number 812,1
This is a toxic comment number 1956,1
This is a toxic comment number 688,1
This is a safe comment number 67,0
This is a toxic comment number 1422,1
walang kwenta!,1
This is a toxic comment number 308,1
This is a safe comment number 199,0
This is a safe comment number 1457,0
This is a toxic comment number 1936,1
This is a safe comment number 1115,0
This is a safe comment number 563,0
This is a safe comment number 1725,0
buti pa ikaw,0
This is a toxic comment number 712,1
This is a safe comment number 591,0
This is a toxic comment number 1002,1
This is a toxic comment number 1042,1
This is a safe comment number 1109,0
salamat po!,0
walang kwenta,1
moron,1
swerte mo 😊,0
This is a safe comment number 339,0
This is a safe comment number 1057,0
Kill yourself!,1
This is a toxic comment number 326,1
This is a toxic comment number 368,1
This is a safe comment number 171,0
This is a toxic comment number 978,1
This is a toxic comment number 1646,1
This is a safe comment number 1965,0
This is a safe comment number 1533,0
This is a toxic comment number 200,1
Stay positive 😊,0
This is a toxic comment number 360,1
This is a safe comment number 1513,0
This is a safe comment number 317,0
This is a toxic comment number 1006,1
This is a toxic comment number 1488,1
This is a toxic comment number 566,1
This is a toxic comment number 386,1
This is a toxic comment number 380,1
This is a toxic comment number 212,1
I appreciate your effort 😊,0
You are stupid!,1
This is a toxic comment number 680,1
astig ka pre!,0
This is a toxic comment number 1682,1
ayos yan!!!,0
This is a safe comment number 757,0
This is a toxic comment number 900,1
This is a safe comment number 1925,0
This is a toxic comment number 1740,1
This is a safe comment number 193,0
This is a toxic comment number 784,1
This is a safe comment number 19,0
This is a toxic comment number 476,1
sira ulo 😂,1
This is a safe comment number 827,0
This is a toxic comment number 84,1
"Hey, Keep it up",0
Best wishes 😊,0
"Keep going, you’re doing well 😂",0
This is a toxic comment number 682,1
This is a safe comment number 1239,0
This is a safe comment number 1571,0
This is a safe comment number 1821,0
ULOL,1
This is a safe comment number 1393,0
This is a toxic comment number 1970,1
malakas ka 😂,0
This is a toxic comment number 548,1
This is a toxic comment number 1594,1
This is a toxic comment number 1430,1
This is a safe comment number 1699,0
This is a toxic comment number 262,1
This is a safe comment number 673,0
THANK YOU VERY MUCH,0
This is a safe comment number 587,0
This is a safe comment number 299,0
That was helpful!,0
This is a toxic comment number 1688,1
This is a toxic comment number 628,1
This is a toxic comment number 1310,1
This is a toxic comment number 560,1
This is a toxic comment number 678,1
This is a toxic comment number 792,1
"Hoy, salamat po",0
This is a safe comment number 505,0
This is a toxic comment number 540,1
This is a safe comment number 141,0
This is a safe comment number 1581,0
Great work 😊,0
This is a safe comment number 1113,0
This is a safe comment number 369,0
This is a safe comment number 15,0
This is a safe comment number 1987,0
salamat po!!!,0
This is a toxic comment number 868,1
This is a safe comment number 1667,0
This is a safe comment number 1627,0
This is a toxic comment number 918,1
This is a safe comment number 1447,0
You suck!!!,1
This is a toxic comment number 166,1
ulol,1
This is a safe comment number 603,0
This is a safe comment number 325,0
This is a toxic comment number 962,1
Disgusting animal,1
This is a safe comment number 195,0
This is a toxic comment number 1564,1
This is a safe comment number 1017,0
This is a safe comment number 919,0
This is a safe comment number 329,0
This is a toxic comment number 1226,1
This is a safe comment number 1945,0
This is a toxic comment number 1772,1
You're trash 😡,1
This is a toxic comment number 960,1
This is a safe comment number 1985,0
This is a toxic comment number 78,1
This is a safe comment number 751,0
This is a safe comment number 971,0
This is a safe comment number 1935,0
This is a safe comment number 555,0
This is a toxic comment number 1306,1
This is a safe comment number 47,0
This is a toxic comment number 14,1
This is a toxic comment number 1962,1
This is a toxic comment number 1628,1
This is a safe comment number 497,0
"KEEP GOING, YOU’RE DOING WELL",0
This is a toxic comment number 1096,1
Go die,1
This is a safe comment number 1775,0
This is a toxic comment number 1742,1
This is a safe comment number 759,0
Go die 😂,1
DISGUSTING ANIMAL,1
putangina mo,1
This is a toxic comment number 1132,1
This is a toxic comment number 532,1
This is a safe comment number 1335,0
This is a safe comment number 1903,0
This is a safe comment number 73,0
This is a toxic comment number 538,1
This is a toxic comment number 1590,1
This is a safe comment number 1079,0
This is a toxic comment number 1928,1
This is a toxic comment number 1190,1
Congrats on your success 😂,0
This is a safe comment number 1039,0
This is a safe comment number 297,0
This is a toxic comment number 880,1
This is a toxic comment number 266,1
This is a toxic comment number 1398,1
This is a safe comment number 1847,0
This is a toxic comment number 1060,1
This is a toxic comment number 1262,1
This is a safe comment number 367,0
This is a toxic comment number 690,1
This is a safe comment number 1061,0
This is a safe comment number 159,0
This is a toxic comment number 80,1
This is a toxic comment number 318,1
This is a safe comment number 9,0
This is a safe comment number 947,0
This is a toxic comment number 1428,1
This is a safe comment number 1727,0
This is a safe comment number 647,0
MALAKAS KA,0
This is a safe comment number 755,0
This is a safe comment number 1045,0
This is a toxic comment number 1824,1
This is a toxic comment number 1624,1
This is a toxic comment number 684,1
This is a toxic comment number 828,1
This is a toxic comment number 694,1
You're trash!,1
This is a safe comment number 1931,0
This is a safe comment number 1779,0
hudas 😡,1
"Keep going, you’re doing well!!!",0
This is a toxic comment number 1662,1
This is a toxic comment number 1390,1
sobrang bait mo 😂,0
This is a toxic comment number 1104,1
This is a toxic comment number 1722,1
This is a safe comment number 795,0
This is a toxic comment number 1050,1
"Hey, retard",1
This is a safe comment number 1265,0
This is a toxic comment number 1680,1
This is a toxic comment number 1168,1
This is a safe comment number 619,0
This is a safe comment number 1023,0
This is a safe comment number 1187,0
This is a safe comment number 1403,0
You are kind!,0
This is a safe comment number 1141,0
This is a toxic comment number 1506,1
"Hoy, ulol",1
This is a safe comment number 1221,0
This is a toxic comment number 214,1
This is a safe comment number 699,0
This is a toxic comment number 138,1
This is a safe comment number 391,0
This is a toxic comment number 836,1
"Hey, Congrats on your success",0
This is a safe comment number 1323,0
This is a toxic comment number 1604,1
Great work!!!,0
This is a toxic comment number 234,1
retard!!!,1
This is a toxic comment number 30,1
This is a toxic comment number 956,1
This is a toxic comment number 1892,1
This is a safe comment number 1389,0
This is a safe comment number 57,0
This is a safe comment number 1035,0
This is a toxic comment number 1420,1
This is a safe comment number 1561,0
This is a toxic comment number 394,1
This is a toxic comment number 224,1
This is a toxic comment number 1952,1
This is a toxic comment number 892,1
This is a toxic comment number 1256,1
This is a toxic comment number 1976,1
This is a toxic comment number 912,1
Thank you very much,0
retard!,1
This is a safe comment number 1157,0
This is a toxic comment number 1388,1
gago,1
Moron,1
This is a safe comment number 59,0
This is a safe comment number 431,0
"Hoy, tanga",1
This is a toxic comment number 1400,1
sira ulo!!!,1
you are kind,0
This is a safe comment number 69,0
This is a safe comment number 477,0
This is a toxic comment number 1794,1
SHUT UP LOSER,1
This is a safe comment number 149,0
This is a toxic comment number 1378,1
This is a safe comment number 1015,0
This is a safe comment number 499,0
This is a safe comment number 1803,0
ampalaya!!!,1
This is a toxic comment number 1668,1
This is a toxic comment number 994,1
This is a safe comment number 1429,0
This is a toxic comment number 776,1
This is a toxic comment number 342,1
This is a safe comment number 301,0
This is a toxic comment number 1380,1
Best wishes 😂,0
This is a safe comment number 1739,0
"Hey, Worthless",1
This is a toxic comment number 280,1
This is a toxic comment number 164,1
This is a toxic comment number 498,1
This is a safe comment number 85,0
This is a toxic comment number 460,1
This is a toxic comment number 816,1
This is a toxic comment number 1192,1
This is a toxic comment number 484,1
This is a safe comment number 1083,0
This is a toxic comment number 1454,1
This is a toxic comment number 196,1
This is a safe comment number 559,0
This is a toxic comment number 1950,1
This is a toxic comment number 1494,1
This is a safe comment number 593,0
Thank you very much!!!,0
This is a safe comment number 1073,0
This is a safe comment number 335,0
This is a toxic comment number 1932,1
This is a toxic comment number 1330,1
YOU ARE STUPID,1
This is a toxic comment number 1514,1
This is a toxic comment number 1990,1
This is a toxic comment number 1898,1
abnormal 😡,1
"Hoy, hudas",1
This is a toxic comment number 1118,1
This is a toxic comment number 1406,1
This is a safe comment number 1653,0
This is a toxic comment number 1810,1
This is a safe comment number 935,0
This is a safe comment number 455,0
This is a safe comment number 403,0
This is a safe comment number 1851,0
This is a toxic comment number 1518,1
This is a safe comment number 221,0
This is a toxic comment number 1158,1
This is a safe comment number 347,0
Go die 😡,1
This is a safe comment number 1373,0
